,Throughput of MLD on Link 1,Throughput of MLD on Link 2,Throughput of SLD on Link 1,Throughput of SLD on Link 2,Access Delay of MLD on Link 1,Access Delay of MLD on Link 2,Queueing Delay of MLD on Link 1,Queueing Delay of MLD on Link 2,Access Delay of SLD on Link 1,Access Delay of SLD on Link 2,Queueing Delay of SLD on Link 1,Queueing Delay of SLD on Link 2,p of MLD on Link 1,p of MLD on Link 2,p of SLD on Link 1,p of SLD on Link 2,success transmit ratio,weighted e2e delay of mld,alpha of link 1,alpha of link 2,sec access delay of mld on Link 0,sec access delay of mld on Link 1,sec access delay of sld on Link 0,sec access delay of sld on Link 1
0,0.0015378,0.0015495,0.0156045,0.0156418,75.72135518272857,76.30842207163602,8.62667447002211,8.677637947725072,76.31382613989554,76.25745118848215,9.62671665224775,9.795400785075886,0.9244364292155095,0.9216082793076786,0.9225298405547772,0.9215532630661097,0.9999941748364586,84.66704483605588,0.4324537,0.4305166,9950.058200026011,9950.058200026011,10463.666564132142,10463.666564132142
1,0.0015898,0.0015569,0.0155748,0.0156139,75.80834067178262,76.72336052411843,10.044156497672663,10.102832551865887,76.46025631147751,76.40898174062855,9.8065143693659,10.129198982957494,0.926672884122173,0.9211335936575553,0.921307771027678,0.9232984447992431,0.9999970875624353,86.3393451227198,0.4314555,0.4315865,10265.065983142533,10265.065983142533,10691.56731386599,10691.56731386599
2,0.0015626,0.0015565,0.0155807,0.015655,76.21157045949059,76.74211371667202,9.803084602585434,10.42190812720848,75.890184651524,76.2856723091664,9.721739074624375,9.612034493771958,0.9245606768830247,0.9220425330252947,0.923021783046309,0.921999599514706,1.000005821636695,86.58933845297827,0.4324819,0.4299227,10246.670165109434,10246.670165109434,10299.843524360267,10299.843524360267
3,0.0015491,0.0015604,0.0156656,0.0156837,76.66929184687883,76.9425147398103,9.608159576528307,9.366572673673417,76.26572873046676,76.81936022749734,9.651318813195791,9.807590045716253,0.9209869203329369,0.9221132253870701,0.9221568165764069,0.9205453883808562,1.0000087061247587,86.29326941844543,0.4299061,0.42853,10649.873345813698,10649.873345813698,10436.84234245736,10436.84234245736
4,0.0015657,0.0015605,0.0156844,0.0156272,76.14594111260139,77.01691765459789,9.62036149964872,11.267991028516501,77.35251587564714,76.67930275417221,9.888698324449772,10.1097957407597,0.9223020735155514,0.9207576115175832,0.9185592972181552,0.9209643865325342,1.0000058076056404,87.02560564768226,0.4278605,0.4304243,10272.65638372613,10272.65638372613,10925.387901354212,10925.387901354212
