,Throughput of MLD on Link 1,Throughput of MLD on Link 2,Throughput of SLD on Link 1,Throughput of SLD on Link 2,Access Delay of MLD on Link 1,Access Delay of MLD on Link 2,Queueing Delay of MLD on Link 1,Queueing Delay of MLD on Link 2,Access Delay of SLD on Link 1,Access Delay of SLD on Link 2,Queueing Delay of SLD on Link 1,Queueing Delay of SLD on Link 2,p of MLD on Link 1,p of MLD on Link 2,p of SLD on Link 1,p of SLD on Link 2,success transmit ratio,weighted e2e delay of mld,alpha of link 1,alpha of link 2,sec access delay of mld on Link 0,sec access delay of mld on Link 1,sec access delay of sld on Link 0,sec access delay of sld on Link 1
0,0.0018717,0.0012465,0.0213476,0.0219984,154.19565101244856,159.66835138387484,239.14868835817705,134.8051343762535,468.67530307856623,454.59945268746816,4749095.414055913,4465522.224416321,0.6107086922474549,0.6002600404507368,0.6093394987726208,0.6122810240309948,0.7082579435548408,353.7959979264267,0.0706915,0.071099,196139.23160762942,196139.23160762942,2716597.469350185,2716597.469350185
1,0.0018872,0.0012505,0.0212818,0.0220009,159.5099088596863,161.69364254298281,274.15488554472233,152.9186725309876,469.86170812619235,454.3702393992973,4787104.850012687,4444667.695017022,0.6034405576517234,0.6029411764705882,0.6072602552103545,0.6121291205733745,0.7076323636119732,386.04380267223337,0.0708079,0.0710751,222471.33324501908,222471.33324501908,2619789.13192963,2619789.13192963
2,0.0018659,0.0012566,0.0213349,0.0219448,149.3067152580524,158.2101703008117,178.30950211694088,111.50732134330734,468.648842975594,455.6826127374139,4772415.245241365,4464820.310164595,0.6092734693877551,0.5998663356883712,0.6079514206496434,0.6099013643349666,0.707175971787455,304.4567270826436,0.0706596,0.0711528,139636.01779302213,139636.01779302213,2740468.755991357,2740468.755991357
3,0.0018775,0.001258,0.0213021,0.0219714,153.18849533954727,158.37241653418124,209.6114513981358,128.23751987281398,469.50860243825724,455.22177467070827,4752263.058031837,4431381.954176794,0.606192690171768,0.6061774201320291,0.6073542493499384,0.6111145106110756,0.7071675204871195,332.323942605408,0.0705203,0.0712319,161563.49145139815,161563.49145139815,2752531.1930654724,2752531.1930654724
4,0.0018817,0.0012472,0.0213055,0.0220176,154.63405431258968,155.61906670942912,195.83897539459,115.94820397690827,469.4088803360635,454.0922625535935,4754972.139119007,4411699.802644248,0.6033216839270256,0.6027741530133874,0.6079816225779756,0.6136078612794087,0.709395535505665,318.9107260988428,0.0707273,0.0711314,154115.29122601904,154115.29122601904,2742041.4770693015,2742041.4770693015
