,Throughput of MLD on Link 1,Throughput of MLD on Link 2,Throughput of SLD on Link 1,Throughput of SLD on Link 2,Access Delay of MLD on Link 1,Access Delay of MLD on Link 2,Queueing Delay of MLD on Link 1,Queueing Delay of MLD on Link 2,Access Delay of SLD on Link 1,Access Delay of SLD on Link 2,Queueing Delay of SLD on Link 1,Queueing Delay of SLD on Link 2,p of MLD on Link 1,p of MLD on Link 2,p of SLD on Link 1,p of SLD on Link 2,success transmit ratio,weighted e2e delay of mld,alpha of link 1,alpha of link 2,sec access delay of mld on Link 0,sec access delay of mld on Link 1,sec access delay of sld on Link 0,sec access delay of sld on Link 1
0,0.0028115,0.0003128,0.0216537,0.0221448,150.72146540992352,444.50383631713555,257.988298061533,371.6863810741688,230.852491721969,677.3397863155233,4587409.724906136,4346292.29387486,0.6948151443258205,0.5327882813830693,0.7068403270822112,0.5617328263444802,0.7152059066507741,449.4578088634413,0.08557,0.065154,119373.15539747466,119373.15539747466,355041.4066695299,355041.4066695299
1,0.0028188,0.0003094,0.0216462,0.0221378,153.2426919256421,416.330639948287,330.9390166028097,336.9899806076277,230.97521966904122,677.2776337305423,4605882.056190001,4362862.753209443,0.6917640129576912,0.5345542501727713,0.7070571134593086,0.5611552734573033,0.7170652298521151,511.09559973119815,0.0853895,0.0650289,149941.67088832127,149941.67088832127,342768.1420203084,342768.1420203084
2,0.002816,0.0003042,0.0216269,0.022147,152.71086647727273,356.560157790927,301.8507102272727,158.61308349769888,231.26089268457338,677.3275612949835,4624139.679186569,4392812.361891001,0.692777012399134,0.5470239165617695,0.7063113375463349,0.5612846161839135,0.7134569741966894,460.6227431629535,0.0857395,0.0652668,127919.07571022728,127919.07571022728,357776.2842940967,357776.2842940967
3,0.0028273,0.0003102,0.0216543,0.0221429,151.98737311215646,404.16312056737587,368.64609344604395,286.0809155383623,230.91955870196682,677.3248355003184,4583742.816807747,4383555.421859829,0.6950610910342454,0.544975404075896,0.7071230541649931,0.561590609933323,0.7154189118124519,537.5945235129542,0.0852801,0.0653557,143248.858027093,143248.858027093,325517.82080233487,325517.82080233487
4,0.0027968,0.0003166,0.0216907,0.0220861,151.55087957665904,427.1484523057486,278.1110197368421,351.9349336702464,230.50796424273997,679.3416402171501,4618059.186831223,4363199.12485681,0.693289705262636,0.5415668833390352,0.7087190210909804,0.5587739715630218,0.7135137931716611,464.6040479797505,0.0856777,0.0650862,114541.00632866133,114541.00632866133,367689.6474111024,367689.6474111024
