,Throughput of MLD on Link 1,Throughput of MLD on Link 2,Throughput of SLD on Link 1,Throughput of SLD on Link 2,Access Delay of MLD on Link 1,Access Delay of MLD on Link 2,Queueing Delay of MLD on Link 1,Queueing Delay of MLD on Link 2,Access Delay of SLD on Link 1,Access Delay of SLD on Link 2,Queueing Delay of SLD on Link 1,Queueing Delay of SLD on Link 2,p of MLD on Link 1,p of MLD on Link 2,p of SLD on Link 1,p of SLD on Link 2,success transmit ratio,weighted e2e delay of mld,alpha of link 1,alpha of link 2,sec access delay of mld on Link 0,sec access delay of mld on Link 1,sec access delay of sld on Link 0,sec access delay of sld on Link 1
0,0.0006182,0.0003115,0.0216133,0.024695,1618.6916855386605,447.8722311396469,11506065.159010028,167.58876404494382,740.1541828411209,161.97941688600932,4648846.258488986,3140641.1131970035,0.5309628102722665,0.7015765765765766,0.5495637978951436,0.7630391793350636,0.7199553742890064,10356977.01172553,0.0642411,0.0977576,33928061.41054675,33928061.41054675,7379695.647161702,7379695.647161702
1,0.000611,0.0003118,0.0216404,0.0247059,1636.5577741407528,429.03175112251444,11385455.217839608,190.6170622193714,739.2217149405741,161.9065526857957,4606928.847595238,3069606.9114503013,0.5343244425010931,0.7041553748870822,0.55015495066747,0.7631802497814489,0.7212901375009346,10248444.562933708,0.0641344,0.0975735,39940796.5797054,39940796.5797054,7392729.5631781295,7392729.5631781295
2,0.000649,0.0003168,0.0216002,0.0247159,1540.3727272727272,448.780303030303,11677399.822958397,282.3854166666667,740.8605522171091,161.83898219364863,4591789.669303988,3127247.8599525,0.5373851121967376,0.7092008059100067,0.5503894733891702,0.7628646740002716,0.719050733012957,10511119.292689074,0.0644157,0.0968878,34901472.19768875,34901472.19768875,7809033.332973769,7809033.332973769
3,0.000645,0.0003068,0.0216437,0.0247235,1549.9536434108527,410.8474576271187,11445807.302635659,131.22913950456322,739.4632618267672,161.78844419277206,4629624.4055591235,3181507.3407325014,0.533234126984127,0.7215428033866416,0.5515990835438005,0.7633301429497669,0.7211393388908363,10302675.738310877,0.0639223,0.0971757,37669380.59984496,37669380.59984496,7611694.599564769,7611694.599564769
4,0.0006751,0.000314,0.0215789,0.0247018,1481.22352244112,464.2535031847134,11536946.490001481,379.7544585987261,741.4655705341793,161.93106980058133,4631579.566307829,3119055.015994786,0.5467724953429983,0.7056179775280899,0.5495442726571235,0.7629121973667549,0.7193130356447215,10384669.34296771,0.0639191,0.0974657,28166434.02962524,28166434.02962524,7305438.609595484,7305438.609595484
