,Throughput of MLD on Link 1,Throughput of MLD on Link 2,Throughput of SLD on Link 1,Throughput of SLD on Link 2,Access Delay of MLD on Link 1,Access Delay of MLD on Link 2,Queueing Delay of MLD on Link 1,Queueing Delay of MLD on Link 2,Access Delay of SLD on Link 1,Access Delay of SLD on Link 2,Queueing Delay of SLD on Link 1,Queueing Delay of SLD on Link 2,p of MLD on Link 1,p of MLD on Link 2,p of SLD on Link 1,p of SLD on Link 2,success transmit ratio,weighted e2e delay of mld,alpha of link 1,alpha of link 2,sec access delay of mld on Link 0,sec access delay of mld on Link 1,sec access delay of sld on Link 0,sec access delay of sld on Link 1
0,0.0003225,0.0027974,0.0243522,0.0194326,64.46914728682171,85.33749195681705,0.834108527131783,43.46042753985844,205.2652655612224,772.1252791700545,3281714.4882474686,5665425.028791824,0.6917631917631918,0.5722292680931146,0.7255863012147631,0.5444693185097602,0.7143801431358603,122.44845312840329,0.089358,0.0632591,6522.922480620155,6522.922480620155,254193.65569435206,254193.65569435206
1,0.0003207,0.0028351,0.0243548,0.0194205,63.817274711568444,84.20807026207189,0.7243529778609292,42.95615674932101,205.29760047300738,772.4482376869803,3336789.688550101,5643901.535686517,0.6983885017421603,0.5778017812378992,0.7251149981391887,0.5455058720425607,0.7151503792052005,120.90196707919654,0.0891152,0.0634628,5359.058933582788,5359.058933582788,243716.4815642091,243716.4815642091
2,0.0003084,0.0028043,0.0243691,0.0194777,62.6961738002594,85.42352815319332,0.8236057068741893,43.413293870128015,205.18137723592582,769.9319324150182,3321115.137969806,5647379.485724701,0.704431247144815,0.574863679225944,0.7258951896124941,0.5468238081735669,0.7145976693154946,122.30511777170257,0.0893688,0.0633102,5282.927691309987,5282.927691309987,242558.18236619324,242558.18236619324
3,0.0003123,0.0027972,0.0243591,0.0194812,63.7870637207813,85.38656513656514,0.9583733589497279,46.88549263549263,205.3067642072162,769.8576165739277,3354820.583239939,5648460.01162146,0.7024291497975709,0.5737846153846153,0.7248588764272302,0.5474738504600408,0.7163763257595986,125.5193957028251,0.0890893,0.063366,5868.431316042267,5868.431316042267,235763.6559725113,235763.6559725113
4,0.0003083,0.002799,0.0243573,0.0194382,65.05903340901719,85.60242943908538,0.5896853713915018,47.53061807788496,205.27202933001604,771.5681750367833,3308403.5657113064,5687323.565129487,0.6861784998887158,0.5726034122990058,0.7245077946762406,0.5447177938007393,0.7151288756070228,126.3846146433142,0.0889802,0.0632264,6148.790463833928,6148.790463833928,229304.9412209071,229304.9412209071
