,Throughput of MLD on Link 1,Throughput of MLD on Link 2,Throughput of SLD on Link 1,Throughput of SLD on Link 2,Access Delay of MLD on Link 1,Access Delay of MLD on Link 2,Queueing Delay of MLD on Link 1,Queueing Delay of MLD on Link 2,Access Delay of SLD on Link 1,Access Delay of SLD on Link 2,Queueing Delay of SLD on Link 1,Queueing Delay of SLD on Link 2,p of MLD on Link 1,p of MLD on Link 2,p of SLD on Link 1,p of SLD on Link 2,success transmit ratio,weighted e2e delay of mld,alpha of link 1,alpha of link 2,sec access delay of mld on Link 0,sec access delay of mld on Link 1,sec access delay of sld on Link 0,sec access delay of sld on Link 1
0,0.0003075,0.0028125,0.0230334,0.0203279,293.75674796747967,247.62211555555555,193.7310569105691,2464.513991111111,434.1574192259936,491.93642727482916,3962597.427505275,5263326.711652458,0.5885167464114832,0.6139221164760325,0.618655221130551,0.6022992251966638,0.7073961002989,2489.671276487805,0.072034,0.0697385,896398.2959349593,896398.2959349593,2178439.568292132,2178439.568292132
1,0.0003167,0.0027975,0.0230255,0.020321,273.7196084622671,246.12700625558534,78.41300915693085,2517.447613941019,434.23053571040805,492.25674917572957,3949157.861305943,5245431.88491216,0.5984504913076342,0.6139580818610776,0.6186690239616528,0.6017595863698685,0.710039123391509,2522.4304199388635,0.0719604,0.0700971,593841.1146195137,593841.1146195137,2235662.4499185686,2235662.4499185686
2,0.0003107,0.0028272,0.0230048,0.0202801,304.8706147409076,251.24416383701188,141.85548760862568,2980.0990732880587,434.6614010989011,493.0988851139787,3908077.9394039507,5233915.654390264,0.5804221931627125,0.612014287260526,0.6174127750939346,0.600772587367841,0.7083827355474681,2952.881523647517,0.0721791,0.0698625,850049.8696491793,850049.8696491793,2179584.787731256,2179584.787731256
3,0.0003012,0.0028033,0.023042,0.0203209,282.1191899070385,243.35315520993115,159.55013280212484,1923.6280455177825,434.00476955125424,492.27970709958714,3945766.678994879,5267747.880064367,0.5977376463584044,0.6146778932596588,0.6182468962889625,0.6024613250004447,0.7081631533387791,1994.4500129258586,0.0718231,0.0702092,753824.170318725,753824.170318725,2205088.399344675,2205088.399344675
4,0.0003063,0.0028148,0.0230454,0.0203237,269.24910218739797,246.50873951968168,87.1913157035586,2389.7293235753873,433.82996172772005,491.95766026855347,3916167.360384285,5217251.079247382,0.5987099296325255,0.6160513011315139,0.6193102113868331,0.6015260352385096,0.7083746004077441,2408.2582985746576,0.0723179,0.0696684,516700.3049298074,516700.3049298074,2336368.5992519115,2336368.5992519115
