,Throughput of MLD on Link 1,Throughput of MLD on Link 2,Throughput of SLD on Link 1,Throughput of SLD on Link 2,Access Delay of MLD on Link 1,Access Delay of MLD on Link 2,Queueing Delay of MLD on Link 1,Queueing Delay of MLD on Link 2,Access Delay of SLD on Link 1,Access Delay of SLD on Link 2,Queueing Delay of SLD on Link 1,Queueing Delay of SLD on Link 2,p of MLD on Link 1,p of MLD on Link 2,p of SLD on Link 1,p of SLD on Link 2,success transmit ratio,weighted e2e delay of mld,alpha of link 1,alpha of link 2,sec access delay of mld on Link 0,sec access delay of mld on Link 1,sec access delay of sld on Link 0,sec access delay of sld on Link 1
0,0.0022015,0.0009534,0.0223165,0.0214126,152.55930047694753,400.71869100062935,193.34290256643197,1565.2326410740507,224.05069343311004,700.5255036754061,4327770.070822038,4710372.403043068,0.6913390277603316,0.5474905248650511,0.7123658917302161,0.5564286865096071,0.7141595023244761,831.9169417527696,0.0866662,0.0647946,110367.11146945265,110367.11146945265,329394.00263034075,329394.00263034075
1,0.0021818,0.000932,0.0223197,0.0214737,157.68498487487395,398.97371244635195,241.12416353469612,1362.1627682403434,224.0221060318911,698.61281008862,4291110.127394185,4691544.989494125,0.6873326402671455,0.5507623212386242,0.7114528879255387,0.55866681929579,0.71449548215711,807.5073480927075,0.0863613,0.0648523,159630.02021266843,159630.02021266843,287094.3791717631,287094.3791717631
2,0.0021599,0.0009455,0.0223424,0.0214604,157.2525579887958,391.3291380222105,208.66202138987916,1151.1668958223163,223.7946191993698,698.5539318931613,4283334.190315275,4675308.281532497,0.6901300444132026,0.5481159420289855,0.7108644952736088,0.5585838367695403,0.713607438475429,718.8890157184304,0.0862345,0.0648483,143472.19250891244,143472.19250891244,306385.8919856417,306385.8919856417
3,0.002175,0.0009426,0.0223594,0.0214284,152.79531034482758,384.4265860386166,185.29494252873565,1097.0256736685762,223.62005241643337,700.0439136846428,4278408.906249721,4724991.589082712,0.6934481109516978,0.5528121517799542,0.7129819772706981,0.5562509572228467,0.7156737391707685,681.0988549236521,0.0863996,0.0647062,114136.86464367816,114136.86464367816,329220.2729858583,329220.2729858583
4,0.0021875,0.0009345,0.0223191,0.0214625,155.98848,401.6338148742643,185.0501942857143,1173.3734617442483,223.9739819257945,698.6926639487478,4270374.275472578,4704054.648927199,0.688412638469285,0.5454386272106462,0.7119784356258773,0.5578877596111357,0.7143938551612898,711.2292549855538,0.0865169,0.0645601,122595.02189714285,122595.02189714285,325430.32368240657,325430.32368240657
