,Throughput of MLD on Link 1,Throughput of MLD on Link 2,Throughput of SLD on Link 1,Throughput of SLD on Link 2,Access Delay of MLD on Link 1,Access Delay of MLD on Link 2,Queueing Delay of MLD on Link 1,Queueing Delay of MLD on Link 2,Access Delay of SLD on Link 1,Access Delay of SLD on Link 2,Queueing Delay of SLD on Link 1,Queueing Delay of SLD on Link 2,p of MLD on Link 1,p of MLD on Link 2,p of SLD on Link 1,p of SLD on Link 2,success transmit ratio,weighted e2e delay of mld,alpha of link 1,alpha of link 2,sec access delay of mld on Link 0,sec access delay of mld on Link 1,sec access delay of sld on Link 0,sec access delay of sld on Link 1
0,0.002209,0.0009328,0.0223376,0.0214475,99.17627885921232,218.88496998284734,47.60588501584427,233.93685677530019,223.83763698875438,699.489777363329,4292703.788240455,4699821.278853013,0.7008026395101679,0.5514305982501774,0.7129279144139256,0.5573689120813724,0.7157265874988943,238.59406273998383,0.0863143,0.0646546,36242.60597555455,36242.60597555455,337500.2138725736,337500.2138725736
1,0.0021688,0.0009298,0.0223623,0.0214645,98.59668941350056,221.79382662938266,45.79085208410181,252.81436868143686,223.5683851839927,698.9424910899392,4284488.424893683,4727444.518418784,0.698216470285236,0.5496246379381687,0.7133405850960327,0.5576947560142278,0.7133991717494815,243.4537376415675,0.0868036,0.0646618,32428.87610660273,32428.87610660273,344377.0296391695,344377.0296391695
2,0.0021918,0.0009239,0.0223284,0.0214527,99.64280500045625,225.0212144171447,48.164932931836844,268.2546812425587,223.85409612869708,699.2043891911042,4264858.118826248,4701996.774858177,0.6964285714285714,0.5450415904666391,0.7120615867386965,0.5574968035675305,0.7142173988529099,251.4481852505162,0.0864932,0.0650588,36897.76517017976,36897.76517017976,324783.86534637504,324783.86534637504
3,0.002173,0.0009307,0.0223504,0.0214482,97.87326277036355,224.51412915010206,34.48978370915785,277.69936606855055,223.6840951392369,699.5697401180519,4260069.521789319,4693150.9504667055,0.7002223439564335,0.5491503422232712,0.7119390196122152,0.5571626739818264,0.7150623781290067,243.31818110126073,0.0865413,0.0646368,26807.238011965026,26807.238011965026,307222.9784880807,307222.9784880807
4,0.0022054,0.0009314,0.0223221,0.0214575,98.21932529246395,216.09491088683703,41.81871769293552,226.50987760360746,223.9712571845839,699.0893114295701,4279090.585388471,4691929.766491903,0.6997049398775342,0.5529565423889813,0.712049149736356,0.55757662374784,0.7149786724332627,230.80806663691297,0.0863902,0.0648634,30948.786569329826,30948.786569329826,317631.2682229719,317631.2682229719
