,Throughput of MLD on Link 1,Throughput of MLD on Link 2,Throughput of SLD on Link 1,Throughput of SLD on Link 2,Access Delay of MLD on Link 1,Access Delay of MLD on Link 2,Queueing Delay of MLD on Link 1,Queueing Delay of MLD on Link 2,Access Delay of SLD on Link 1,Access Delay of SLD on Link 2,Queueing Delay of SLD on Link 1,Queueing Delay of SLD on Link 2,p of MLD on Link 1,p of MLD on Link 2,p of SLD on Link 1,p of SLD on Link 2,success transmit ratio,weighted e2e delay of mld,alpha of link 1,alpha of link 2,sec access delay of mld on Link 0,sec access delay of mld on Link 1,sec access delay of sld on Link 0,sec access delay of sld on Link 1
0,0.0021843,0.0009399,0.0209922,0.0223496,99.37998443437257,103.32960953292904,52.44233850661539,17.841578891371423,476.37928849763244,447.4683663242295,4923425.353031126,4292293.328645702,0.6134812526330572,0.6006134577289284,0.6061241283728183,0.6148783977110157,0.7088093966898025,142.62698258598172,0.0702579,0.0713131,41392.29039051412,41392.29039051412,2761349.9525014055,2761349.9525014055
1,0.0021855,0.0009504,0.0210169,0.0223213,98.38448867536033,107.76504629629629,53.216746739876456,35.84953703703704,475.79638766897114,448.1363227052188,4935095.830650572,4265917.711876101,0.6153218086603975,0.5963855421686747,0.6073318248938746,0.6136203692503931,0.7070756094889178,149.20523979066576,0.0702295,0.0712301,39663.63921299474,39663.63921299474,2715267.413695645,2715267.413695645
2,0.0021473,0.0009471,0.0210251,0.0222801,101.14678899082568,104.21275472494985,54.41894472127788,20.966846161968114,475.39095176717353,448.85426007962263,4900746.2760082,4275570.337372812,0.6077665506212674,0.5930866052977645,0.606129009009009,0.6115866044468844,0.7080589708335178,146.44989386454787,0.0702206,0.0709908,43446.81167046989,43446.81167046989,2722600.2983338963,2722600.2983338963
3,0.002162,0.0009215,0.0210556,0.0223519,98.67155411655874,104.36798697775366,66.88908418131359,21.989365165491048,475.00990710309844,447.3682416259915,4910139.734635917,4283575.3540325435,0.6157965194109772,0.6046587926509186,0.6079599921462643,0.613491830410689,0.7094255897383468,153.79965245148406,0.0703531,0.0713797,50676.07923219242,50676.07923219242,2925114.9074640474,2925114.9074640474
4,0.0021833,0.0009471,0.0209895,0.0222951,99.23189667017817,106.57195649878577,51.529977556909266,24.89906028930419,476.48877295790754,448.47549910069927,4917543.535725005,4262180.9888002295,0.6121516290024113,0.599127024291498,0.606226460870168,0.6127889398895089,0.7073268485514391,144.9746169953882,0.0703902,0.0717022,39927.664727705764,39927.664727705764,2763566.8128969246,2763566.8128969246
