,Throughput of MLD on Link 1,Throughput of MLD on Link 2,Throughput of SLD on Link 1,Throughput of SLD on Link 2,Access Delay of MLD on Link 1,Access Delay of MLD on Link 2,Queueing Delay of MLD on Link 1,Queueing Delay of MLD on Link 2,Access Delay of SLD on Link 1,Access Delay of SLD on Link 2,Queueing Delay of SLD on Link 1,Queueing Delay of SLD on Link 2,p of MLD on Link 1,p of MLD on Link 2,p of SLD on Link 1,p of SLD on Link 2,success transmit ratio,weighted e2e delay of mld,alpha of link 1,alpha of link 2,sec access delay of mld on Link 0,sec access delay of mld on Link 1,sec access delay of sld on Link 0,sec access delay of sld on Link 1
0,0.0006215,0.0025084,0.0240141,0.019759,101.52791633145615,197.29154042417477,6.44827031375704,777.4203476319566,208.21112179927627,759.4777772154462,3445371.8401439153,5523562.934359026,0.6915544675642595,0.564103717363438,0.7220874114834694,0.5481409148535397,0.7137313741721855,801.3647477739479,0.0885353,0.0637963,29593.05197103781,29593.05197103781,246069.4009227912,246069.4009227912
1,0.000637,0.0024896,0.0239881,0.0197766,105.19450549450549,196.0532615681234,12.290894819466248,840.9903197300771,208.45062343411942,758.9652518633133,3498370.3771453346,5496000.956443474,0.6871628910463862,0.5666037005849018,0.7217939459589577,0.5479269120478757,0.7146702228995999,853.1319451013547,0.0886652,0.0638098,39899.26043956044,39899.26043956044,242867.96393211634,242867.96393211634
2,0.0006327,0.0025131,0.0240161,0.0197135,100.37679785048206,197.98555568819387,9.493756914809547,804.0863873303888,208.20745250061418,761.2104496918355,3502698.5853031925,5544793.455530474,0.6992705570291777,0.5639431815631802,0.7237841796433533,0.5468741330906912,0.7140480811121233,823.6316653679245,0.0889973,0.0638445,29911.55776829461,29911.55776829461,279950.7260629328,279950.7260629328
3,0.0006277,0.002485,0.0239946,0.0197976,104.76087302851681,200.54486921529175,11.369921937231162,972.5486519114688,208.38384469839048,757.7413777427568,3478147.8865703116,5493869.916297935,0.6900076948444542,0.5676756139348943,0.7221894488454408,0.5485132933627387,0.7143135615547566,961.7009758945582,0.0889695,0.0636775,34996.193723116136,34996.193723116136,235785.89188400723,235785.89188400723
4,0.0006308,0.0025092,0.0240172,0.0197672,103.65171211160431,196.15610553164356,9.038839568801523,836.8960624900367,208.19892410439186,758.8455218746205,3465588.3046608265,5491394.262500506,0.6951730218205863,0.5666794643058787,0.7229327642308236,0.5485570932623651,0.714520210864196,848.9798447534255,0.0884745,0.0637121,44591.982086239695,44591.982086239695,244694.58717086088,244694.58717086088
