,Throughput of MLD on Link 1,Throughput of MLD on Link 2,Throughput of SLD on Link 1,Throughput of SLD on Link 2,Access Delay of MLD on Link 1,Access Delay of MLD on Link 2,Queueing Delay of MLD on Link 1,Queueing Delay of MLD on Link 2,Access Delay of SLD on Link 1,Access Delay of SLD on Link 2,Queueing Delay of SLD on Link 1,Queueing Delay of SLD on Link 2,p of MLD on Link 1,p of MLD on Link 2,p of SLD on Link 1,p of SLD on Link 2,success transmit ratio,weighted e2e delay of mld,alpha of link 1,alpha of link 2,sec access delay of mld on Link 0,sec access delay of mld on Link 1,sec access delay of sld on Link 0,sec access delay of sld on Link 1
0,0.0006011,0.0012525,0.0216463,0.0236727,1662.826983862918,419.36255489021954,10198684.894693064,1341.4055089820358,739.279807634561,168.9713087227059,4581526.354628735,3666688.375918252,0.5276046695339244,0.7113647980916681,0.5497933795086318,0.7551895414828356,0.7172270977394224,6120912.940231703,0.0642161,0.0956717,37054897.42588588,37054897.42588588,7440662.800834322,7440662.800834322
1,0.0006328,0.0012504,0.0216464,0.0237037,1580.1512326169407,438.3066218809981,9942297.9045512,2104.016954574536,739.1003353906423,168.7498744921679,4605907.805108471,3620358.5842927475,0.5330188679245284,0.7052055721617506,0.5511102964015296,0.757030985519651,0.7203986852841815,5967343.762900873,0.0639686,0.0955814,31368095.405657396,31368095.405657396,7640615.027085335,7640615.027085335
2,0.0006198,0.0012426,0.0216706,0.0236903,1613.7307195869635,415.89578303557056,10304545.351080993,1129.7292773217448,737.9637435050253,168.84447221014509,4593377.550723099,3626610.6252812333,0.5380208333333333,0.7095705801735952,0.551500360106785,0.755131899376522,0.7195558630105259,6184313.699104491,0.0638689,0.0954139,34116578.74040013,34116578.74040013,7380566.681739315,7380566.681739315
3,0.0006692,0.0012377,0.0216086,0.0237092,1490.149731022116,416.04783065363176,9503988.55200239,968.8350973580027,740.4339244560036,168.67504597371484,4605900.5599576095,3603386.1122813085,0.5448180411951478,0.7072975598605634,0.5505263586984215,0.7573227370586394,0.7191947404410074,5703841.174211252,0.0639139,0.0958384,34885012.56604902,34885012.56604902,7539979.542122118,7539979.542122118
4,0.0006263,0.0012555,0.0216171,0.0236758,1596.618234073128,428.7048187972919,10281417.761456171,1484.5763440860214,740.0492989346398,168.9483649971701,4609313.883157316,3620124.4038258474,0.5380121982647539,0.7030068872837225,0.5495961375649269,0.7565869574248472,0.7189172055087619,6170573.9402793,0.0639792,0.0958803,33760229.451700464,33760229.451700464,7372079.638466769,7372079.638466769
