throughput,access_delay,queueing_delay,e2e_delay,p
0.0040293333333333336,35.50889727585783,0.18908728938629935,35.69798456524413,0.930976935683735
0.008065333333333334,39.218072852013506,0.24734068349372879,39.46541353550724,0.8805198707239577
0.01194,43.30816278792571,0.38465452025457414,43.69281730818028,0.8349671448335769
0.01580533333333333,49.42767730990781,1.0395277631326985,50.4672050730405,0.7865167589186057
0.020153333333333332,56.98058488417385,1.694283259162854,58.6748681433367,0.747971174639386
0.024309333333333336,69.49036304866641,2.890491214531982,72.38085426319839,0.7001513527710512
0.028056,87.9150229980761,7.122476118142571,95.03749911621867,0.6577895852053655
0.03179333333333333,109.68715389716142,13.184973505151465,122.87212740231288,0.6232021655539397
0.035808,155.53746650948452,36.80065928570055,192.33812579518508,0.58285912904585
0.03956,244.81504196284837,162.54661497591854,407.36165693876694,0.5539056352333623
0.04355866666666667,657.890971715813,7239.5605336767085,7897.4515053925215,0.5311580341086448
0.044254666666666664,828.083200314122,43356.08441343265,44184.167613746766,0.5371899270656368
0.044450666666666666,924.6610269360621,96789.24015619888,97713.90118313495,0.5379145990445797
0.044617333333333335,855.3113949684766,110811.96001767364,111667.27141264212,0.5433998080570873
0.044588,864.9594596190552,146675.86159689882,147540.82105651786,0.5429427904612584
