throughput,access_delay,queueing_delay,e2e_delay,p
0.0040293333333333336,35.10980198570897,0.17415472358738066,35.28395670929635,0.9382299243496837
0.008065333333333334,38.64110735043437,0.21354166211181533,38.85464901254618,0.887323025056026
0.01194,43.21536361822186,0.4082038804309825,43.62356749865284,0.8343816879297354
0.01580533333333333,49.198511428540655,0.8558256384921037,50.05433706703276,0.7893193051584879
0.020153333333333332,57.49083230740955,1.5847689883566844,59.07560129576623,0.7436081874675815
0.024309333333333336,69.67156025427944,2.794778207516266,72.4663384617957,0.6985758233789618
0.028056,87.75693641551254,6.936893716603935,94.69383013211647,0.6578425209798717
0.03179333333333333,109.703049903405,13.114078575193467,122.81712847859848,0.6241495475397618
0.035808,157.8129505395963,42.73480737520683,200.54775791480313,0.5828939191446928
0.03956,245.48460016875862,168.33141077115656,413.81601093991515,0.5522109596550064
0.04355866666666667,650.1679008927824,6181.040606607412,6831.208507500194,0.5262802296142477
0.044254666666666664,861.2249600548968,48624.94919246022,49486.174152515116,0.5358602787667899
0.044450666666666666,894.8295064119973,91695.41991093394,92590.24941734594,0.539974525475891
0.044617333333333335,891.7542512453292,123352.413058728,124244.16730997333,0.542513360341885
0.044588,896.8910774007209,163962.7050377549,164859.5961151556,0.5417483399884424
