,Throughput of MLD on Link 1,Throughput of MLD on Link 2,Throughput of SLD on Link 1,Throughput of SLD on Link 2,Access Delay of MLD on Link 1,Access Delay of MLD on Link 2,Queueing Delay of MLD on Link 1,Queueing Delay of MLD on Link 2,Access Delay of SLD on Link 1,Access Delay of SLD on Link 2,Queueing Delay of SLD on Link 1,Queueing Delay of SLD on Link 2,p of MLD on Link 1,p of MLD on Link 2,p of SLD on Link 1,p of SLD on Link 2,success transmit ratio,weighted e2e delay of mld,alpha of link 1,alpha of link 2,sec access delay of mld on Link 0,sec access delay of mld on Link 1,sec access delay of sld on Link 0,sec access delay of sld on Link 1
0,0.0,0.0,0.0166327,0.0,,,,,1202.4960228946593,,1666593.0241812814,,,,0.9638233760213247,,0.8874181018844569,,0.4593592,0.9999999,,,2139091.5404354073,2139091.5404354073
1,0.0,0.0,0.0166521,0.0,,,,,1201.0054527657173,,1669901.2844145782,,,,0.9650873685125619,,0.8881262100193603,,0.4590386,0.9999999,,,2110971.525975703,2110971.525975703
2,0.0,0.0,0.0166613,0.0,,,,,1200.3975800207668,,1686026.80170815,,,,0.9655869858766394,,0.887017861420928,,0.4588652,0.9999999,,,2114763.6937573897,2114763.6937573897
3,0.0,0.0,0.0166675,0.0,,,,,1199.9418749062547,,1697118.1980740963,,,,0.964973223331886,,0.8878395150507907,,0.4585158,0.9999999,,,2121233.5682375883,2121233.5682375883
4,0.0,0.0,0.0166704,0.0,,,,,1199.7351893175928,,1631989.037731548,,,,0.9654653176345219,,0.8905175775511621,,0.4585709,0.9999999,,,2120840.8202382666,2120840.8202382666
