,Throughput of MLD on Link 1,Throughput of MLD on Link 2,Throughput of SLD on Link 1,Throughput of SLD on Link 2,Access Delay of MLD on Link 1,Access Delay of MLD on Link 2,Queueing Delay of MLD on Link 1,Queueing Delay of MLD on Link 2,Access Delay of SLD on Link 1,Access Delay of SLD on Link 2,Queueing Delay of SLD on Link 1,Queueing Delay of SLD on Link 2,p of MLD on Link 1,p of MLD on Link 2,p of SLD on Link 1,p of SLD on Link 2,success transmit ratio,weighted e2e delay of mld,alpha of link 1,alpha of link 2,sec access delay of mld on Link 0,sec access delay of mld on Link 1,sec access delay of sld on Link 0,sec access delay of sld on Link 1
0,0.0002151,0.0002367,0.0210156,0.0210202,88908.62993956299,84664.86142796789,14464557.118084611,14714578.522179974,1189.8729562800968,1189.0938335505846,4928895.899094006,4883168.5678252345,0.46148895086891223,0.4658531785081677,0.4938490930496514,0.4949597937294701,0.4528653424927654,14676354.56581606,0.058729,0.0584467,84895160663.49559,84895160663.49559,19509801.72719789,19509801.72719789
1,0.0002439,0.0002012,0.0209951,0.0210667,82093.50758507584,98840.90705765407,14805736.525625257,14621380.534791252,1190.2264099718507,1186.9848338847564,4938794.092769265,4941563.402744615,0.4826835543241639,0.45978062157221206,0.4935645321679357,0.49546905244045564,0.4540593257726034,14804025.737529619,0.0585134,0.0587614,95212679139.8036,95212679139.8036,19220419.715500284,19220419.715500284
2,0.0002641,0.0002186,0.0209935,0.0210485,76341.63309352518,88914.99679780421,14984276.045815978,14278977.72232388,1191.7294876985734,1187.7335202033398,4900111.349308119,4928331.050440649,0.4850321395775941,0.4701075268817204,0.49479596310036156,0.4948094201501695,0.454000679004042,14714255.199015595,0.0587877,0.0584898,73531320817.05225,73531320817.05225,19931023.753542762,19931023.753542762
3,0.0002212,0.0002171,0.0210359,0.0210662,91770.8123869801,93308.65039152464,14679827.981916817,14717165.07323814,1188.4445590633156,1186.8363682106883,4941177.004839346,4881058.874889634,0.46715945089757127,0.4627024722932651,0.4955710307719128,0.49642167871222853,0.45353109121497,14791036.25896673,0.0587635,0.0587642,107206624907.16321,107206624907.16321,19689383.73694969,19689383.73694969
4,0.0002299,0.0001986,0.0210066,0.0210484,86452.93214441062,99015.47432024169,14357552.306220096,14799322.781470291,1189.645868441347,1187.7885159917143,4870998.817961974,4904308.233533191,0.4723649065132525,0.4529076396807298,0.493836041525615,0.4949734622321825,0.4535433894664472,14671171.747077521,0.0586418,0.0587126,94468066749.27055,94468066749.27055,19412402.483605154,19412402.483605154
