,Throughput of MLD on Link 1,Throughput of MLD on Link 2,Throughput of SLD on Link 1,Throughput of SLD on Link 2,Access Delay of MLD on Link 1,Access Delay of MLD on Link 2,Queueing Delay of MLD on Link 1,Queueing Delay of MLD on Link 2,Access Delay of SLD on Link 1,Access Delay of SLD on Link 2,Queueing Delay of SLD on Link 1,Queueing Delay of SLD on Link 2,p of MLD on Link 1,p of MLD on Link 2,p of SLD on Link 1,p of SLD on Link 2,success transmit ratio,weighted e2e delay of mld,alpha of link 1,alpha of link 2,sec access delay of mld on Link 0,sec access delay of mld on Link 1,sec access delay of sld on Link 0,sec access delay of sld on Link 1
0,0.0088921,0.0089356,0.0108619,0.0108633,2247.6582247163215,2238.6202717221004,6402639.1462084325,6549411.218541564,2304.159042156529,2300.1850358546667,9809888.715620656,9703646.695092652,0.423780429685266,0.4256466441194684,0.42149398525417153,0.4228495136372306,0.4214036026034547,6478268.321623217,0.0528615,0.0528516,61118179.05962596,61118179.05962596,64156236.13676245,64156236.13676245
1,0.0086812,0.0088182,0.0110404,0.0109413,2304.4707759295948,2268.759452042367,6606537.158088744,6587037.49380826,2265.2557153726316,2284.753840951258,9726097.71879642,9673804.95431987,0.42015090431272717,0.4232803724859598,0.42243087919067623,0.4224717452496882,0.4203497706666212,6599073.941062488,0.0529591,0.0528716,64402916.327362575,64402916.327362575,62851926.49653998,62851926.49653998
2,0.0087551,0.0086548,0.0109724,0.0110812,2284.1697410652077,2311.0803715857096,6523799.651483135,6618118.767135,2277.961867959608,2254.70989604014,9765594.356193723,9713229.4284915,0.42146536369325566,0.42162388623930086,0.42180448237419754,0.421915930551325,0.4212054843646936,6573256.834365393,0.0529707,0.0529021,64138727.15524665,64138727.15524665,62271428.9179031,62271428.9179031
3,0.0087941,0.0086907,0.0109348,0.0110519,2275.195608419281,2303.1405525446744,6582952.0202977,6577180.263396504,2286.5886801770494,2262.5500140247377,9690082.45610345,9722186.554936254,0.42267540781897356,0.42181516373749584,0.42106317025741735,0.4228676594377018,0.4202685911475441,6582355.309927585,0.0529917,0.0530137,63329157.87072014,63329157.87072014,64464017.079845995,64464017.079845995
4,0.0087721,0.0087775,0.0109715,0.0109646,2280.2693767740907,2277.090356023925,6600726.037847266,6635421.065440046,2275.6903158182563,2279.728498987651,9689298.785890717,9655812.119867574,0.421964817424851,0.4227064772453648,0.4223056197074673,0.42233426675243335,0.42135428560452626,6620352.231510054,0.0530402,0.0531203,62576638.562647484,62576638.562647484,63170682.847550474,63170682.847550474
