,Throughput of MLD on Link 1,Throughput of MLD on Link 2,Throughput of SLD on Link 1,Throughput of SLD on Link 2,Access Delay of MLD on Link 1,Access Delay of MLD on Link 2,Queueing Delay of MLD on Link 1,Queueing Delay of MLD on Link 2,Access Delay of SLD on Link 1,Access Delay of SLD on Link 2,Queueing Delay of SLD on Link 1,Queueing Delay of SLD on Link 2,p of MLD on Link 1,p of MLD on Link 2,p of SLD on Link 1,p of SLD on Link 2,success transmit ratio,weighted e2e delay of mld,alpha of link 1,alpha of link 2,sec access delay of mld on Link 0,sec access delay of mld on Link 1,sec access delay of sld on Link 0,sec access delay of sld on Link 1
0,0.0009394,0.002173,0.0038944,0.0116897,44.21950180966574,60.045329038196044,1.0908026399829678,6.698757478140819,44.57644309778143,63.087110875386024,0.8202804026294166,2.4910134562905806,0.9942845046570703,0.9594666195690569,0.993748245681186,0.9520540135522544,0.9999839544734928,60.313951896330416,0.844915,0.5473375,2117.341068767298,2117.341068767298,2158.786796425637,2158.786796425637
1,0.0009543,0.0022367,0.0039012,0.0117466,44.45467882217332,60.55291277328207,1.0147752279157498,7.11718156212277,44.623705526504665,63.76325064273917,0.8688864964626268,2.5978325643164832,0.9936484798000833,0.9564269220901394,0.9929244082463731,0.9514036252895534,0.9999946918344489,61.00990224981011,0.8441676,0.5431972,2144.949072618673,2144.949072618673,2175.0610581359583,2175.0610581359583
2,0.0009437,0.0021893,0.0038983,0.0117613,44.31228144537459,60.71739825515005,1.116032637490728,7.74366235783127,44.64189518508068,63.605613325057604,0.8262575994664341,2.453631826413747,0.9939962081314514,0.957112879251552,0.9921358037259493,0.9522163300004048,0.9999946787848473,61.55123665394652,0.8445618,0.5444034,2125.529829394935,2125.529829394935,2171.128927994254,2171.128927994254
3,0.0009433,0.0021887,0.0039518,0.0117031,44.573412488073785,60.46571023895463,1.1104632672532597,6.478092018092932,44.61010172579584,63.547889020857724,0.9059669011589655,2.455238355649358,0.9930519002000211,0.9573109390718628,0.9933638328892463,0.9512627309452396,1.0000106458292302,60.56582430653141,0.8429138,0.5461503,2172.5352485953567,2172.5352485953567,2168.0540513183864,2168.0540513183864
4,0.0009277,0.0021857,0.0038818,0.0116628,44.362078258057565,59.6761220661573,1.1436886924652365,6.117582467859267,44.48693904889484,62.882892615838394,0.8969550208666083,2.340707205816785,0.993254817987152,0.9578001752848379,0.9930671032771368,0.9529677081971499,1.0,59.70732325896843,0.845645,0.5478974,2137.9690632747656,2137.9690632747656,2151.9992786851462,2151.9992786851462
